type;number
GYM;71
GYM;72
GYM;73
WORK;14
DEFAULT;24
WORK;27
WORK;28
MUSIC;30
MUSIC;31
DEFAULT;33
DEFAULT;34
DEFAULT;52
ART;60
ART;61
DEFAULT;110
DEFAULT;111
DEFAULT;112
DEFAULT;113
DEFAULT;122
DEFAULT;125
DEFAULT;126
DEFAULT;130
DEFAULT;131
DEFAULT;132
DEFAULT;133
DEFAULT;134
DEFAULT;151
DEFAULT;152
DEFAULT;153
DEFAULT;154
DEFAULT;155
DEFAULT;210
COMPUTER;211
COMPUTER;212
DEFAULT;213
BIOLOGY;222
BIOLOGY;223
BIOLOGY;225
COMPUTER;230
PHYSICS;233
PHYSICS;236
CHEMISTRY;240
CHEMISTRY;241
CHEMISTRY;242
DEFAULT;250
DEFAULT;251
DEFAULT;252
DEFAULT;253
DEFAULT;254
DEFAULT;255
DEFAULT;256
DEFAULT;257
DEFAULT;310
DEFAULT;311
DEFAULT;312
DEFAULT;313
DEFAULT;327
DEFAULT;329
DEFAULT;330
DEFAULT;332
DEFAULT;340
DEFAULT;341
DEFAULT;342
DEFAULT;343
KITCHEN;350
