firstName;lastName;shortName;subjectTypes;maxNumberOfLessons;type
0;0;0;RELIGION_CA|BIOLOGY|ES_ECOLOGY|SCIENCE|CLASS|OPEN_LEARNING;20;Default
1;1;1;GERMAN|ART|ES_ART|CLASS|OPEN_LEARNING;20;Default
2;2;2;GERMAN|ENGLISH|CLASS|OPEN_LEARNING;24;Advanced
3;3;3;GERMAN|ENGLISH|THEATRE|CLASS|OPEN_LEARNING;24;Advanced
4;4;4;ENGLISH|ES_FRENCH|CLASS|OPEN_LEARNING;24;Advanced
5;5;5;ENGLISH|CHEMISTRY|CLASS|OPEN_LEARNING;20;Default
6;6;6;BIOLOGY|ES_ECOLOGY|SCIENCE|CHEMISTRY|CLASS|OPEN_LEARNING;24;Advanced
7;7;7;GERMAN|RELIGION_EV|CLASS|OPEN_LEARNING;24;Advanced
8;8;8;BIOLOGY|ES_ECOLOGY|SCIENCE|MATHS|CLASS|OPEN_LEARNING;20;Default
9;9;9;ES_FRENCH|RELIGION_EV|CLASS|OPEN_LEARNING;24;Advanced
10;10;10;PE|ES_PE|RELIGION_CA|HISTORY|SOCIETY_SCIENCE|CLASS|OPEN_LEARNING;24;Advanced
11;11;11;BIOLOGY|ES_ECOLOGY|SCIENCE|MATHS|CLASS|OPEN_LEARNING;20;Default
12;12;12;MATHS|COMPUTER_SCIENCE|ES_COMPUTER_SCIENCE|CLASS|OPEN_LEARNING;24;Advanced
13;13;13;LATIN|GERMAN|CLASS|OPEN_LEARNING;24;Advanced
14;14;14;GERMAN|SOCIAL_STUDIES|SOCIETY_SCIENCE|CLASS|OPEN_LEARNING;24;Advanced
15;15;15;BIOLOGY|ES_ECOLOGY|SCIENCE|WORK|ES_WORK_THEORY|PE|ES_PE|CLASS|OPEN_LEARNING;20;Default
16;16;16;GERMAN|ENGLISH|CLASS|OPEN_LEARNING;24;Advanced
17;17;17;RELIGION_CA|MATHS|CLASS|OPEN_LEARNING;20;Default
18;18;18;BIOLOGY|ES_ECOLOGY|SCIENCE|ART|ES_ART|CLASS|OPEN_LEARNING;20;Default
19;19;19;ENGLISH|ES_FRENCH|CLASS|OPEN_LEARNING;24;Advanced
