U-Nr;Kl,Le;Wst;Lehrer;Fach;Klasse(n);Studenten;Stud. Kurs;Schülergruppe
3;;3;;D;5B;0;;D_5B
8;1, 2;1;;D1;5B;0;;D1_5B
11;1, 2;1;;D2;5B;0;;D2_5B
14;;3;;E;5B;0;;E_5B
;;0;;E1;5B;0;;E1_5B
;;0;;E2;5B;0;;E2_5B
237;;3;;M;5B;0;;M_5B
;;0;;M1;5B;0;;M1_5B
;;0;;M2;5B;0;;M2_5B
25;;2;;GL;5B;0;;GL_5B
43;1, 2;1;;KL;5B;0;;KL_5B
35;;1;;BK;5B;0;;BK_5B
31;;2;;Mu;5B;0;;Mu_5B
29;;4;;NW;5B;0;;NW_5B
45;;2;;OL;5B;0;;OL_5B
41;;3;;SpoS;5B;0;;SpoS_5B
548;2, 3;2;;RelEv;5D,5B;0;;RelEv_5B5D
;;0;;RelRk;5D,5B;0;;RelRk_5B5D
;;0;;Eth;5D,5B;0;;Eth_5B5D
