number;type
71;GYM
72;GYM
73;GYM
14;WORK
24;DEFAULT
27;WORK
28;WORK
30;MUSIC
31;MUSIC
33;DEFAULT
34;DEFAULT
52;DEFAULT
60;ART
61;ART
110;DEFAULT
111;DEFAULT
112;DEFAULT
113;DEFAULT
122;DEFAULT
125;DEFAULT
126;DEFAULT
130;DEFAULT
131;DEFAULT
132;DEFAULT
133;DEFAULT
134;DEFAULT
151;DEFAULT
152;DEFAULT
153;DEFAULT
154;DEFAULT
155;DEFAULT
210;DEFAULT
211;COMPUTER
212;COMPUTER
213;DEFAULT
222;BIOLOGY
223;BIOLOGY
225;BIOLOGY
230;COMPUTER
233;PHYSICS
236;PHYSICS
240;CHEMISTRY
241;CHEMISTRY
242;CHEMISTRY
250;DEFAULT
251;DEFAULT
252;DEFAULT
253;DEFAULT
254;DEFAULT
255;DEFAULT
256;DEFAULT
257;DEFAULT
310;DEFAULT
311;DEFAULT
312;DEFAULT
313;DEFAULT
327;DEFAULT
329;DEFAULT
330;DEFAULT
332;DEFAULT
340;DEFAULT
341;DEFAULT
342;DEFAULT
343;DEFAULT
350;KITCHEN
